<<<<<<< HEAD
;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;parameters full;emptied;log parameters
a17f336fa9bc25d62d4ae9f810172567;GLO;SSP5-Base-2030;a17f336fa9bc25d62d4ae9f810172567;market for potassium nitrate, industrial grade;potassium nitrate, industrial grade;kilogram;4.915088806644416;0.00043852138766538264;0.0004628252879361149;3.5887760256489344e-09;2.3075895064845414e-10;3.0067296628324965e-14;1.1007394888631594e-09;6.0391743529740876e-12;1.408856922490218e-12;4.460651084514248e-11;3.8267930059901436e-11;1.0024612059129155e-14;6.620425635059611e-09;1.2703229206469235e-10;6.09410866049636e-15;1.362093897619647e-10;3.6474472171383807e-07;4.344287160705749e-08;4.7583392524299824e-08;5.47496012894386e-11;5.415684415953354e-11;2.572118274237149e-07;8.62215861646451e-10;2.2398876463679998e-08;0.03171426912708933;0.02694168577769191;8.169317028839515e-09;7.363501723279121e-07;0.058655955040990616;;;
f3f1d6d7d5b472c6bb0d03aad5b12d9f;GLO;SSP5-Base-2030;f3f1d6d7d5b472c6bb0d03aad5b12d9f;market for chloropropionic acid;chloropropionic acid;kilogram;1.6304975014250298;0.00933956813127336;0.0051093267995237085;1.1195912684317808e-07;1.4656437650901263e-09;2.4305010382470874e-13;8.899917988223071e-09;1.0963299705158671e-10;2.2259312999895213e-11;2.389229649816002e-10;7.145979374044386e-10;1.902367901342776e-13;3.7582913926444544e-10;7.083329673735376e-10;3.5034226738150667e-14;7.830498126361169e-10;2.948865978541498e-06;6.098173847136226e-07;7.141930884435619e-07;1.688011873467489e-09;7.217268407190939e-10;1.5809219844427662e-06;4.56471981538062e-09;1.2876818587026578e-07;0.4000801747390694;0.038042255106758134;1.2535599368596098e-08;5.9895391780845166e-06;0.4381224306288774;;;
5b3cd1ed6a23c57209658541ffd2c82d;GLO;SSP5-Base-2030;5b3cd1ed6a23c57209658541ffd2c82d;market for tetraethyl orthosilicate;tetraethyl orthosilicate;kilogram;1.1465265510648377;0.03809539138376407;0.005853150571845054;6.68246748850636e-07;1.7613294621888994e-09;2.1855641263221165e-13;8.003066236780527e-09;8.017688071017669e-11;1.649044427377174e-11;1.71547198383633e-10;8.215501930257731e-10;1.1767665332923785e-13;3.3261399755618984e-10;8.242402402748475e-10;7.673546404405979e-14;1.7151139424696865e-09;2.6516997709381476e-06;5.630864397756235e-07;5.641553167290006e-07;7.123566600776477e-10;3.339513409133036e-10;1.766878705030004e-06;5.211544155490544e-09;2.8204094729188183e-07;0.4445881737560579;0.016421206587612373;1.2011399778576938e-08;5.834109886714947e-06;0.4610093820587843;;;
69e1f866e2ae8ca1e3ff1da992c0d6d6;RoW;SSP5-Base-2030;69e1f866e2ae8ca1e3ff1da992c0d6d6;market for ground granulated blast furnace slag;ground granulated blast furnace slag;kilogram;0.17315336750806798;0.001091604756429086;0.00015901638650032095;2.952687774793214e-09;9.362840064741817e-11;8.583983209818048e-15;3.1429235653214447e-10;3.573838224178463e-12;8.688122337679673e-13;3.4461138527138954e-11;2.1216974188786575e-11;4.789853548060636e-15;2.6540759798441096e-11;2.079976742840549e-11;3.32254422542493e-16;7.426216804040523e-12;1.0414434480975246e-07;2.1722868271724867e-08;2.7326416232877554e-08;4.565211223455938e-11;1.4488626554224492e-11;1.0011391916222891e-07;1.359355813003365e-10;1.2212000441151442e-09;0.009934962692145438;0.0003866381808337832;5.153956246753154e-10;2.5472478541351565e-07;0.010321600880405438;;;
2034499bc66ccc742f6c23b64ec26855;GLO;SSP5-Base-2030;2034499bc66ccc742f6c23b64ec26855;market for cottonseed, for sowing;cottonseed, for sowing;kilogram;0.3434083204344025;0.0003740645169344766;0.0011222017039265743;5.856063178368769e-09;1.9201710745490376e-09;5.57153544522016e-14;2.03930128266322e-09;5.679648635642018e-11;7.264021367530434e-12;6.878933574800237e-11;4.2472257855511945e-10;9.880994219663215e-12;7.717496105787252e-09;3.602680325721728e-10;3.512041052044574e-13;7.849761058887927e-09;6.761819639717617e-07;1.0933387941611758e-07;3.200867194203837e-07;8.960683631346229e-11;3.758918474975354e-09;1.0967593748225978e-06;2.4921339918864784e-09;1.2908495408040834e-06;0.03552506023228413;0.002218268485370171;1.260509144103632e-08;3.4995503471150833e-06;0.03774333656741535;;;
9d318a9ed434e9ecc8a8e59eea1789e4;GLO;SSP5-Base-2030;9d318a9ed434e9ecc8a8e59eea1789e4;market for zinc oxide;zinc oxide;kilogram;0.6179467790187654;0.00048066981931221527;0.000920151636299653;1.6121872035602816e-08;2.930885290987246e-10;6.220945752065535e-14;2.2776249629306215e-09;3.6164069217212566e-11;1.2237150500049481e-11;7.544348395738069e-10;1.260541989992411e-10;2.2637545500258976e-14;1.2692420682414196e-10;1.6346118666506427e-10;1.220281028507687e-15;2.7274494678537086e-11;7.547326937673926e-07;1.6161636349067997e-07;9.948301106025248e-07;2.5096441307587957e-10;8.109055554547621e-11;3.361263769933605e-07;1.0876081709081122e-09;4.485138931915568e-09;0.07663970067805759;0.0025741485150918976;3.790073843353935e-09;2.2532099227158395e-06;0.07921384922042396;;;
00dda7e95d471e3da6295521c7be8681;GLO;SSP5-Base-2030;00dda7e95d471e3da6295521c7be8681;market for flax plant, harvested;flax plant, harvested;kilogram;0.6547693439679807;8.17098782230744e-05;0.00016308211926453528;8.496683808975789e-10;5.678785963779817e-10;1.4418797614162797e-14;5.277422372754535e-10;5.724154846613111e-12;9.823669618881146e-13;1.2873468449918446e-11;1.99149428140469e-11;1.1433947482935892e-12;4.4186295913604885e-10;8.765243841808444e-11;3.7653235542318075e-14;8.415872642751559e-10;1.750218822588466e-07;2.096763721589562e-08;-8.06985376650856e-08;1.302520648151978e-11;1.0212162418594078e-09;3.2402880087767596e-07;6.069997067379817e-10;1.3839434417001922e-07;0.006153528817451624;0.00047531408335223485;1.665824302510076e-09;5.793545943786408e-07;0.006628843742391123;;;
14529c122914fc14ef7444a94b8d5958;GLO;SSP5-Base-2030;14529c122914fc14ef7444a94b8d5958;market for epoxy resin insulator, Al2O3;epoxy resin insulator, Al2O3;kilogram;1.5147124866169783;0.0045685797489088045;0.013236434352628562;4.341098982540591e-08;1.7217638396544333e-09;2.2131769178001726e-13;8.104046097097409e-09;1.926203867393075e-10;3.7899141543638015e-11;2.71170483130228e-10;5.559797397856779e-10;1.0469067266466332e-13;3.5654848063579276e-10;7.466489471489318e-10;1.6718618733818558e-14;3.7367775703738423e-10;2.6851834942654404e-06;2.5474870651837195e-06;8.204412167955984e-07;6.551491482322955e-10;4.0962953544574184e-10;1.8985345864101418e-06;4.94941851077887e-09;6.144922851304512e-08;0.3558711608419891;0.029311862631143715;1.1987012774709007e-08;8.019107531174592e-06;0.3851830238468106;;;
32e6fd05c8b157b17ce0e2dbd39b818a;GLO;SSP5-Base-2030;32e6fd05c8b157b17ce0e2dbd39b818a;market for lemon;lemon;kilogram;1.2497611998946847;0.00036821666984962606;0.0007183054320918696;2.680535340981281e-09;7.033364038451057e-10;3.461950639172798e-14;1.2673063654281736e-09;3.17006939028918e-11;3.0296236586259657e-12;6.836856326281525e-11;5.686506339253253e-11;1.0574196000568423e-12;3.908979844073589e-09;1.9967628882158058e-10;1.0242760095094889e-13;2.2893587557354847e-09;4.2014436938844076e-07;6.136789427143687e-08;1.1492899505121952e-07;4.091568164687153e-11;1.1799540419810046e-09;5.017107518196225e-07;1.371044345152587e-09;3.7647231252101616e-07;0.02452073978672277;0.0018095514126822438;6.137296504292915e-09;1.443026732697062e-06;0.02633029348876377;"[{'description': 'fraction, time to transfer the reefer between different modes of transport', 'id': '68f592ea-ec5e-40c3-8c86-c952c0763fc4', 'unit': 'dimensionless', 'comment': 'Estimated value.', 'amount': 0.2, 'uncertainty type': 0, 'loc': 0.2, 'name': 'fraction_time_reefer_transfer'}, {'description': 'losses', 'id': '67d91564-dd27-4166-9796-689b78ff86ff', 'unit': 'dimensionless', 'comment': 'Calculated value based on literature.\n\nFAO suggest, that 1/3 of food produced for human consumption is lost or waste globally, which amounts in 1.3 billion tons per year (FAO, 2011, Global food losses and food waste).\n\nThe food losses vary heavily depending on the type of food and geographic location. The food losses/waste occurs in five basic stages of the lifecycle of the product;\n\n1) Agricultural production\n2) Post-harvest handling and storage\n3) Processing\n4) Distribution\n5) Consumption\n\nThe losses during the forth stage - the distribution - are recorded in the market.\n\nLiterature suggest (FAO, 2011, Global food losses and food waste), that the losses of fruits and vegetable distribution are approximately 12%. This value is rather rough estimate and it is assumed, that in the future this value will be replaced by more precise, product specific data.', 'amount': 0.12, 'uncertainty type': 0, 'loc': 0.12, 'name': 'losses'}, {'description': 'speed, average, aircraft, freight', 'id': 'e831114b-6445-4cbd-a1d6-9e6c4366fb5c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.', 'amount': 700.0, 'uncertainty type': 0, 'loc': 700.0, 'name': 'speed_aircraft'}, {'description': 'speed, average, barge, freight', 'id': '16a175c6-27fe-4453-aefb-4604ea30a75d', 'unit': 'km/hour', 'comment': 'Expert judgement. The barge is in general slower than transoceanic ship.\n\nAverage velocity including stops.\n\nCross reference;\n10 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 20.0, 'uncertainty type': 0, 'loc': 20.0, 'name': 'speed_barge'}, {'description': 'speed, average, lorry, freight', 'id': '3819b90e-0c78-4ad8-9cf9-58b415446628', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n45 km/hour is the default speed of lorries and trucks used to calculate delivery distances  (www.searates.com, accessed 20141201).', 'amount': 45.0, 'uncertainty type': 0, 'loc': 45.0, 'name': 'speed_lorry'}, {'description': 'speed, average, train, freight', 'id': '00c99a4c-33c7-4d15-b668-edcf67a9485c', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nCross reference;\n40 km/hour (Lopez-Ruiz, H.G., 2007, Sustainable freight transport: A transport time and logistical organization approach, University of Lyon)\n\n33.2 km/hour was the average speed of freight train in China in 2007 (http://www.statista.com/statistics/278404/speed-of-freight-trains-in-china/, accessed 20150206)', 'amount': 40.0, 'uncertainty type': 0, 'loc': 40.0, 'name': 'speed_train'}, {'description': 'speed, average, transoceanic ship, freight', 'id': 'fb887cc6-8e4e-4243-96a4-f177655316ca', 'unit': 'km/hour', 'comment': 'Expert judgement.\n\nAverage velocity including stops.\n\nReference;\n26 km/hour (Rodrigue, J-P., Notteboom, T., Slack, B., 2013, Transport Systems, Chapter 3, Maritime Transport, http://people.hofstra.edu/geotrans/eng/ch3en/conc3en/ch3c4en.html, accessed 20150206)', 'amount': 26.0, 'uncertainty type': 0, 'loc': 26.0, 'name': 'speed_ship'}]";;
d2f0454b1e89ac8ed829e6d8df9679c3;RoW;SSP5-Base-2030;d2f0454b1e89ac8ed829e6d8df9679c3;market for sawnwood, beam, hardwood, dried (u=10%), planed;sawnwood, beam, hardwood, dried (u=10%), planed;cubic meter;202.85369527250862;0.22918892243053418;0.372294621417612;1.8653026639934803e-06;8.15015047715965e-08;2.2514792803169345e-11;8.241877351717825e-07;2.5071640385870833e-09;6.438594950724777e-10;2.8765728944981114e-08;2.884844603503754e-08;8.676866510259075e-12;7.679962109334859e-06;8.881837217505093e-08;5.256026090896579e-13;1.1747741077456877e-08;0.0002731386185741172;3.64597052947407e-05;2.725297778163475e-05;2.9312390321355363e-08;4.0120096933812216e-08;0.00019597882405682324;5.927729554262039e-07;1.931850671830365e-06;8.781136786608734;0.6419375439811382;8.735254259587782e-06;0.0005354200882906078;9.423074342337612;;;
8c533000f0930a8bd674095041d96d69;RoW;SSP5-Base-2030;8c533000f0930a8bd674095041d96d69;market for natural gas, high pressure;natural gas, high pressure;cubic meter;0.06869504058482964;0.00024177180738699228;0.002247503746225641;1.3570064627161693e-09;1.1359642665391953e-10;3.5012984876269823e-14;1.2837167975322628e-09;2.7565742892511215e-12;6.17310397387159e-13;5.848719139731819e-12;1.6955979503794644e-11;4.7276801779814015e-15;1.5117779946751896e-11;1.758212311995945e-10;4.660939880668557e-16;1.0417664210328667e-11;4.249920601503881e-07;9.355820023095135e-08;1.6704861119213033e-08;2.103017962629407e-11;4.5279473955266077e-11;1.2957354427397215e-07;9.743227558375416e-10;1.7131269297589317e-09;0.3278512829388115;0.0027826927852831426;1.6144688326020915e-09;6.675817056349317e-07;0.3306339757345123;;True;{'fossil CO2 per kg fuel': 2.148655883697865, 'non-fossil CO2 per kg fuel': 0.011344116302135027, 'lower heating value': 36.000000000000014}
a438b7a80cfc78b901e6ce77fb199432;GLO;SSP5-Base-2030;a438b7a80cfc78b901e6ce77fb199432;market for geothermal power plant, 5.5MWel;geothermal power plant, 5.5MWel;unit;95495985.83112358;228503.8404740973;63164.66231349774;3.5690802866796845;0.05283523357755024;7.753396256074492e-06;0.2838752320416217;0.0028277732810835635;0.0005868407356293666;0.003502743791372567;0.03369935450829978;6.150718147113841e-06;0.012256033351665908;0.01968816108323542;4.7532877643131756e-07;0.010624070915193982;94.06588129745967;74.14472663631582;23.482892777892673;0.05522435233934361;0.010130369519216248;62.82214592226426;0.13156390068422988;1.7470693642095443;4790458.510472639;1876298.679093132;0.4092855851149875;256.4595825162855;6666757.200189842;;;
0485796b0420660700ace938abf15d9a;GLO;SSP5-Base-2030;0485796b0420660700ace938abf15d9a;market for bus;bus;unit;21081.276142027527;189.77194990312415;123.99734718777337;0.0005793187013452331;2.9933671167065724e-05;2.6301567019341407e-09;9.630405655657159e-05;7.815565062241583e-06;1.5035754131889374e-06;7.77162693484661e-06;1.1082346315142528e-05;3.305454081918869e-09;6.359625997103299e-06;1.0568315193655504e-05;1.6110651267720998e-10;3.60089079485722e-06;0.03191036459403589;0.07198731800020733;0.02445129100383204;8.990865062362428e-06;4.364902501486616e-06;0.03955919723649256;6.916062370932007e-05;0.0005921464607848337;2365.4917854222526;1316.3175718357186;0.00017134459934353658;0.168582741852407;3681.8093608588624;;;
