;location;database;code;name;reference product;unit;Total (kg);Total (m3);Hazardous (kg);Hazardous (m3);acidification: terrestrial;climate change: freshwater ecosystems;climate change: terrestrial ecosystems;ecotoxicity: freshwater;ecotoxicity: marine;ecotoxicity: terrestrial;eutrophication: freshwater;eutrophication: marine;land use;photochemical oxidant formation: terrestrial ecosystems;water use: aquatic ecosystems;water use: terrestrial ecosystems;climate change: human health;human toxicity: carcinogenic;human toxicity: non-carcinogenic;ionising radiation;ozone depletion;particulate matter formation;photochemical oxidant formation: human health;water use: human health;energy resources: non-renewable, fossil;material resources: metals/minerals;ecosystem quality;human health;natural resources;log parameters
f3697e266a0e4e218366ea50c81929c7;World;SSP5-Base-2050;f3697e266a0e4e218366ea50c81929c7;market for oxygen, liquid;oxygen, liquid;kilogram;0.10403796488161839;0.00021340175354919364;0.0002566360362727474;1.3719203090372948e-08;1.6128670777250316e-10;5.683783546005789e-14;2.0811007925865803e-09;1.6476723024787025e-11;3.3295004159481667e-12;1.2327263919533713e-11;3.1702994390746766e-10;5.049739496310363e-14;7.08611590336176e-11;7.827399059390986e-11;1.405493595974832e-14;3.1414179773829073e-10;6.895798685328897e-07;1.5002670468140024e-07;1.4099417470752707e-07;2.2531180925105293e-10;1.0570882791393682e-10;2.0302071299154383e-07;5.310683286671751e-10;5.165887118292622e-08;0.02444226080773213;0.000610646686599366;2.740806899990034e-09;1.2361422558892175e-06;0.025052907808473295;
19491c1e22a309caedebc2cf3bd5f053;GLO;SSP5-Base-2050;19491c1e22a309caedebc2cf3bd5f053;market for ammonium thiocyanate;ammonium thiocyanate;kilogram;0.7688531343444326;0.0018177030663881993;0.009750426612945748;7.738105671941796e-09;7.719457602493142e-09;2.5827538027031513e-13;9.456584671353337e-09;4.9887447262520464e-11;1.0482037620442618e-11;1.4795933891329491e-10;4.116824257150899e-10;1.5224828868239931e-12;5.082114938583652e-10;5.86346182650401e-10;2.4707319827124095e-14;5.522331720340803e-10;3.1335211802952366e-06;3.53938039750641e-07;5.536954285937866e-07;1.2254985741311284e-10;2.580143369241047e-10;6.736589071814019e-06;3.7121110604763647e-09;9.081167327123255e-08;0.3245953745127072;0.0054443899982183;1.889215090337449e-08;1.0872560095606339e-05;0.3300397650631587;
f95b0de84efbef07f3073375a5ab6aec;GLO;SSP5-Base-2050;f95b0de84efbef07f3073375a5ab6aec;market for polyurethane adhesive;polyurethane adhesive;kilogram;2.323998757984528;0.004267225944266918;0.11153087910393839;1.8903303915248912e-08;3.4736156305503427e-09;3.8049854539279525e-13;1.393442654465872e-08;1.8496793397148933e-10;3.729287509079166e-11;4.4759372649382734e-10;8.219564515680346e-10;2.581779421585759e-12;5.658195751622445e-10;1.2547782331422071e-09;6.026163465789257e-14;1.3469074708197709e-09;4.617275890819818e-06;1.5352304853847144e-06;1.157854195183716e-06;2.880481823651407e-10;7.535250149323433e-09;3.827782578340102e-06;8.014587428161933e-09;2.2149144122606006e-07;0.7101652383725362;0.017975350274007536;2.0723467520865202e-08;1.1375470587076992e-05;0.7281405899934513;
d8ba411ea8ac325a4c0b63e1db9b2fed;GLO;SSP5-Base-2050;d8ba411ea8ac325a4c0b63e1db9b2fed;market for nickel sulfate;nickel sulfate;kilogram;44.21281481282897;0.37973004887740947;0.028467559121512102;9.534529473019335e-07;1.769874984465791e-08;3.8484102982968363e-13;1.4089435381862562e-08;8.91722205383994e-10;1.8520920615613928e-10;3.917620574441781e-09;1.6184591046847956e-09;2.432744287195862e-12;1.6846908488792205e-09;1.5227543080834257e-09;7.249032317886621e-13;1.6202308219159247e-08;4.668825738875633e-06;1.7186273055182802e-06;7.67644718594924e-06;1.3005086096857867e-08;2.2471701526232344e-09;1.6187103125818468e-05;1.0137916597019939e-08;2.6643794591667397e-06;0.5476125001667005;0.49117146648725707;4.161211116042154e-08;3.2940749021233275e-05;1.0387839828562657;
60eccfb05dccf174b2561c7776f81973;GLO;SSP5-Base-2050;60eccfb05dccf174b2561c7776f81973;market for fosetyl-Al;fosetyl-Al;kilogram;6.166605084311157;0.03628642974469673;0.012769485252927343;6.822575862181609e-08;5.714606251042566e-09;5.659887028447341e-13;2.0721808741572617e-08;3.9054606363212555e-10;8.011670411080017e-11;8.73170495985209e-10;8.0732795118931e-09;5.735914706266032e-13;3.542048647309334e-09;1.584009389885403e-09;9.350530085567086e-14;2.0899364744872283e-09;6.867417950687527e-06;3.699273586557704e-06;2.618072119075763e-06;1.0288058175058193e-09;1.1292926404172332e-08;5.722041698308491e-06;1.034071113612147e-08;3.4367842768245215e-07;0.5629898172970479;0.10610742542605432;4.098010822151089e-08;1.927291087164818e-05;0.6690972448130386;
b80a2050365e1b301657da7679099e7f;GLO;SSP5-Base-2050;b80a2050365e1b301657da7679099e7f;market for wind turbine network connection, 2MW, onshore;wind turbine network connection, 2MW, onshore;unit;16615.133328408407;99.51724091740643;44.889238042961125;4.86984486578456e-05;2.5153089583901903e-05;8.019232141059705e-10;2.9362134241996196e-05;3.0021693143149746e-05;5.542090559175464e-06;1.067102472795104e-05;8.290330714918074e-06;1.1936944476932203e-09;0.0001331533110015792;4.241544288313647e-06;4.249696032297479e-11;9.498493306910213e-07;0.00972933086827296;0.004841586634894978;0.03439396610216359;7.334260871747462e-07;1.8237192098022435e-06;0.02404891873180908;2.880041029376513e-05;0.0001561974387701011;1129.0589826429134;127.55346766387535;0.0002464372213463568;0.07320134612587703;1256.612451256638;
cda0120e659c31e9a2c6bb9dcb8abb42;GLO;SSP5-Base-2050;cda0120e659c31e9a2c6bb9dcb8abb42;market for microwave oven;microwave oven;unit;42.01248547941704;0.3093309586022349;0.3006922918602466;3.666965464542402e-07;8.41001730758499e-08;3.65981600350337e-12;1.3400307776321597e-07;7.211394449128086e-08;1.3371118068095476e-08;2.8645962916978905e-08;3.352285704602551e-08;4.313593397614229e-12;1.6553851897601138e-08;1.5067997802548847e-08;2.1458582753127931e-13;4.7962066723669366e-09;4.440287559743351e-05;0.00010060488099587391;9.720804406726737e-05;5.7008502639409715e-09;9.734934838351655e-09;8.827905496212205e-05;1.010175208555491e-07;7.887095077392639e-07;2.7055984743751824;1.5120163247144294;3.973867609578965e-07;0.00033139988415267367;4.217614803885818;
6f4f06ccdb5cfabfd03186a9e99e3646;GLO;SSP5-Base-2050;6f4f06ccdb5cfabfd03186a9e99e3646;market for hydropower plant, run-of-river;hydropower plant, run-of-river;unit;138034881863.175;15458666.764505234;10131187.531942455;16.645453356835816;2.481310858481309;0.0004115062525842263;15.06520329947593;0.2054470145661275;0.043545859542588605;0.5830553664444538;0.8391572635663093;0.00021731663793877066;1.8310507165812728;2.142854524260031;1.3204743607891914e-05;0.2951391530730709;4992.327004411953;6791.750958747431;971.2335351496345;0.26465131870727715;0.481254389256212;5575.077285924257;14.49950723766471;48.53399197244521;279031169.5427982;129886439.07698667;23.192245840981933;18394.161338577647;408917608.914924;
12c83f53d56f63f1311de1211300241a;GLO;SSP5-Base-2050;12c83f53d56f63f1311de1211300241a;market for furniture, wooden;furniture, wooden;kilogram;2.29726488510399;0.004460489332659484;0.004230978827226218;1.3243716306433913e-08;1.0495487560410836e-09;1.6960240348678138e-13;6.209469696677847e-09;2.208087928097017e-10;4.2454140247426005e-11;2.1901631652767266e-10;4.2786954292152744e-10;1.6792733594262015e-13;7.761617322463488e-09;5.339277158934573e-10;8.660664949769463e-15;1.9357447552385014e-10;2.057718334957438e-06;2.414840857989964e-06;4.694614858552446e-07;2.0993309501754497e-10;3.4929953678219746e-10;1.4522750577855277e-06;3.5278033049134247e-09;3.183224571637509e-08;0.1368320108438183;0.02942572347497741;1.6465037000873798e-08;6.430207965023226e-06;0.16625773451237016;
4600d8c1a10800d4412297597d95811f;GLO;SSP5-Base-2050;4600d8c1a10800d4412297597d95811f;market for power adapter, for smartphone;power adapter, for smartphone;unit;0.9452820400545684;0.020304569204623226;0.04676680613591089;2.9194551572631926e-08;1.894403864178685e-09;1.7427763266648244e-13;6.380722940654929e-09;4.65379311882845e-10;9.295986901006737e-11;3.892463896218757e-10;1.2332969229658985e-09;2.383358690679405e-13;3.6739933718007124e-10;6.439006119995993e-10;1.0973462401401731e-14;2.4526779887594793e-10;2.1143823857790556e-06;6.278639379228613e-07;2.202591116686882e-06;4.5968268320967037e-10;4.355145038870755e-10;1.9360804213615594e-06;3.8864604544579364e-09;4.033292519070624e-08;0.15665129004748884;0.016671343419597466;1.1467721050351625e-08;6.926028614942819e-06;0.17332263371235407;
1b8a30f238981b93f41c4e994cf56214;GLO;SSP5-Base-2050;1b8a30f238981b93f41c4e994cf56214;market for navy bean;navy bean;kilogram;0.5563651922894266;0.0010047144599731215;0.0025586896323728384;1.9217912715234098e-09;1.8089899838786196e-09;1.0032633108937757e-13;3.6724950164217015e-09;4.119009917221063e-11;6.759369983818291e-12;1.0283126973438497e-10;1.3622179416525325e-10;6.174218385046437e-14;3.7185741041995854e-08;9.822886812734537e-10;2.542260306033297e-15;5.682204637169318e-11;1.2174396573162405e-06;2.2849319899637466e-07;2.44672133008104e-07;2.991146708350248e-11;4.377024176376309e-09;1.6137963250541534e-06;6.762271688496051e-09;9.34406944570613e-09;0.08810875646252685;0.007183905199721244;4.3936670287915994e-08;3.3249107531386873e-06;0.09529266171907012;
b2acdb9d5e57f16a3a2e152d5a6ff213;GLO;SSP5-Base-2050;b2acdb9d5e57f16a3a2e152d5a6ff213;market for dairy;dairy;cubic meter;3379.428337127112;1.2226094280909496;0.5955823352310565;3.0441158281549033e-06;1.0262253109033847e-06;2.6377278685945048e-11;9.657070214704903e-07;4.2908291225715566e-07;8.162939782082943e-08;4.355298313186955e-07;3.5323480971673744e-07;3.65258584044213e-11;6.123274574730093e-07;1.481404323086917e-07;1.5305714515559365e-12;3.420979424848955e-08;0.0003200184337627299;0.00035668253710927956;0.0013511117387615087;4.680234725866566e-08;6.979105552536134e-08;0.000995306347166969;1.0083919371276492e-06;5.625610367676721e-06;20.640847978959073;7.803986881833969;4.051938975228092e-06;0.00302986879430173;28.444834895002835;
4d9da62dfbcd84bb1e6d011b4e3b7139;RoW;SSP5-Base-2050;4d9da62dfbcd84bb1e6d011b4e3b7139;market for brass;brass;kilogram;7.039043416117762;0.031605484960546756;0.02761190210261167;8.510809454431173e-08;6.027947519124696e-08;3.548155462766535e-13;1.2990045549611597e-08;1.831059298923884e-08;3.576750084216441e-09;2.8354279196917736e-08;2.0869151867059412e-08;9.27313717009783e-13;7.26999875833794e-09;5.742445978278558e-09;6.685870095814393e-14;1.494358464071878e-09;4.304823664463254e-06;1.0268232365343073e-05;9.398048213404214e-05;1.2384727484792725e-09;2.9368580526222696e-09;5.369822322707758e-05;3.9575600975823746e-08;2.457389368507937e-07;0.30988439394826583;0.3099766688803868;1.5739401473452027e-07;0.00016254122719479747;0.619861064323011;
72938e5816ae2a0251a210197e80d2da;GLO;SSP5-Base-2050;72938e5816ae2a0251a210197e80d2da;market for sweet corn;sweet corn;kilogram;0.18131524268051136;0.0002311125317730974;0.0005355930621215957;5.881967016214669e-10;9.30203015777016e-10;2.18513404378997e-14;7.99837356464346e-10;1.0782642096141993e-11;1.7682914828863161e-12;3.3495566247080755e-11;3.17623220684072e-11;1.3273493506206317e-12;2.0506709903992263e-09;1.7783041486589702e-10;2.790540607124761e-14;6.237135804065032e-10;2.651891786804786e-07;5.0693481728969155e-08;4.588367555190931e-08;9.240279884904025e-12;1.3393114009597303e-09;5.107868588992028e-07;1.2271909405522688e-09;1.0256622880888892e-07;0.017206208322174427;0.0013544388708766051;4.037724986525819e-09;9.77694263443253e-07;0.018560647816764617;
d3575708df6d299e63624c8d0456c52e;RoW;SSP5-Base-2050;d3575708df6d299e63624c8d0456c52e;market for sulfur trioxide;sulfur trioxide;kilogram;0.7335806792401148;0.0014349333739267652;0.0013327588598452903;6.448724870322453e-09;3.1169872387774805e-09;3.602372275216012e-14;1.3189285397417009e-09;2.6202855035246417e-10;5.218661289014376e-11;5.205068457499322e-10;3.913901120415924e-10;3.996869429443451e-14;2.8435828309278884e-10;1.8603398412062294e-10;1.7715040447294413e-14;3.9594877337450726e-10;4.3705336044578653e-07;3.3712689767718455e-07;1.6232635410990067e-06;1.006643236653163e-10;1.0552320249258074e-10;2.782873201242466e-06;1.2679057850400128e-09;6.511157326422259e-08;0.02928432512576811;0.008105201276177004;6.132511306904301e-09;5.246901834447651e-06;0.03738952679789389;
d3c6cf164accab27da5e7696595dd1ae;GLO;SSP5-Base-2050;d3c6cf164accab27da5e7696595dd1ae;market for butter, from cow milk;butter, from cow milk;kilogram;6.801692953953803;0.03375461182042744;0.006114846171766006;1.87706235421456e-08;9.789210813536528e-09;5.89911574418061e-13;2.1594822371572528e-08;2.810018860889849e-10;4.51362480832866e-11;7.319482780905794e-10;9.591688078363559e-10;1.2420536954623788e-11;3.0639760476069793e-07;1.2694991947899503e-09;1.4899852482582292e-13;3.3302652237752e-09;7.162253976401516e-06;9.566335122210486e-07;1.1053780436596349e-06;2.9778520692396286e-10;2.1525732616217373e-08;5.687291504200312e-06;8.576365164255932e-09;5.476435910107874e-07;0.2357518835147352;0.018770842114087506;3.4107236911525793e-07;1.5486557210842602e-05;0.2545227289590879;
8c156de535cc461905edb18f17ec9ce8;GLO;SSP5-Base-2050;8c156de535cc461905edb18f17ec9ce8;market for sponge iron;sponge iron;kilogram;3.1527992427794587;0.18345561202396404;0.0007258246768799691;2.2039425937694574e-09;6.645829325627482e-10;1.480443078924165e-13;5.419221597512778e-09;3.645155256144567e-11;7.885926702956674e-12;5.8045945107718724e-11;5.989045013663324e-10;9.002571257586864e-13;2.2728797210395547e-10;3.0550927540121857e-10;1.1237011609820802e-14;2.5115838581013075e-10;1.7959687964449285e-06;2.304268777388544e-07;4.1878904693047214e-07;3.29357104988081e-11;1.1313788924548896e-10;9.520824415411102e-07;2.0786603046032486e-09;4.130159944486673e-08;0.04278508472596253;0.019524102651293118;7.318948116254751e-09;3.440793191011899e-06;0.06230918762841403;
539b6e9fa7f0886f65b8121e5e895539;RoW;SSP5-Base-2050;539b6e9fa7f0886f65b8121e5e895539;market for isophorondiisocyante;isophorondiisocyante;kilogram;3.3239472075174827;0.014738695935645005;0.011386034205988438;6.395212564016951e-08;3.209347753263373e-09;5.308990419964844e-13;1.9440826856939156e-08;3.7294089823115133e-10;7.446176827644262e-11;6.371376450809253e-10;1.9254108803792893e-09;2.6278414313870055e-12;1.0047348893722754e-09;1.3048060428723804e-09;5.651114427802566e-14;1.2630802805923841e-09;6.44133095164505e-06;1.7736591633966766e-06;2.170091822208554e-06;9.625280794349636e-10;1.2845887241951427e-09;3.4416786708945027e-06;8.442879216148603e-09;2.0770652609295562e-07;0.7175864947846079;0.06568949922211918;2.7972863332679986e-08;1.4045151159385548e-05;0.7832759952698075;
33d83f3af6c8af9aaf66010f0e2f239b;RoW;SSP5-Base-2050;33d83f3af6c8af9aaf66010f0e2f239b;market for methanol, from biomass;methanol, from biomass;kilogram;0.8189235802796037;0.0187517221107812;0.0013775888701947996;5.994260724406215e-09;3.385423610234695e-10;4.580926461555506e-13;1.676732257918162e-08;2.6104451971040016e-11;5.658505460813791e-12;1.0477143281433022e-10;2.004919922117022e-10;1.1316412792348939e-13;2.1277027114318208e-08;2.472824149098495e-10;4.919435067192625e-15;1.0995426662138654e-10;5.557068251108919e-06;1.761344950870854e-07;3.7775981745354066e-07;1.1445124766173005e-10;1.2717887698747624e-10;4.2461250745179555e-07;1.6575411379467505e-09;1.8081367510793302e-08;0.03809247994210781;0.002582209629945099;3.896775502068262e-08;6.555548539750865e-06;0.04067468968200717;
5a05da2a20b79671999076ea858d95a0;GLO;SSP5-Base-2050;5a05da2a20b79671999076ea858d95a0;market for perlite;perlite;kilogram;0.044272210346146375;5.291536972346688e-05;0.00014864855082211047;1.3820380807339863e-10;6.568884610898821e-11;3.4228211565928215e-15;1.253144075780864e-10;8.326785265034686e-13;2.1021712628546366e-13;8.882912853380085e-12;4.506679423856612e-12;1.8479853286036077e-15;5.3980142493515026e-11;5.022420279986612e-11;5.1348795804759053e-17;1.1476966577435945e-12;4.1526427351964376e-08;1.4631340737839387e-08;6.053598163211275e-09;2.1458767416352026e-12;1.150010161630525e-11;7.356293463366964e-08;3.454049765363874e-10;1.8873233115207515e-10;0.004275952316368479;0.0024337336588102607;3.0964521045289123e-10;1.3632201865590053e-07;0.006709685976326437;
0ff1df29b9c4983797d38060a8d2fb2c;GLO;SSP5-Base-2050;0ff1df29b9c4983797d38060a8d2fb2c;market for cover plaster, organic;cover plaster, organic;kilogram;0.2662063116730611;0.0002139376584504655;0.0010752981791274864;1.4273612241059481e-09;2.0105702198965908e-10;2.4948799037639942e-14;9.135993931083371e-10;1.0940109722077895e-11;2.3939816372942146e-12;4.9936770417389166e-11;6.234299662342032e-11;1.4033229958987914e-14;1.1172000496547609e-10;1.0129939758090619e-10;2.421936752823258e-15;5.413269528365467e-11;3.0270245221600413e-07;6.626364340059069e-08;8.567368939418955e-08;4.2712859430307474e-11;3.963289080588711e-11;2.39390654612616e-07;6.651110997394318e-10;8.901820619147926e-09;0.044160301644740406;0.0010547740404172456;1.4533213308604687e-09;7.036764946489817e-07;0.04521507573929035;
e10d17200fbfb2154ddc004d8421b429;GLO;SSP5-Base-2050;e10d17200fbfb2154ddc004d8421b429;market for solvent for chromatography analysis;solvent for chromatography analysis;kilogram;0.29625376985303453;0.0006464559240239974;0.0023045081687781284;1.2039902751890213e-09;3.353085652387919e-10;7.377714118164577e-14;2.7026662232192846e-09;1.1005315893230315e-11;2.4856836511622106e-12;6.395053754636177e-11;6.343985021226335e-11;2.1475848776684996e-13;1.0234514186129235e-10;2.623390705812946e-10;3.646513804883573e-15;8.150321036141758e-11;8.952487503746546e-07;1.2276420484491735e-07;7.255578597065275e-08;1.880712352931614e-11;8.56647958303805e-11;3.3192200377030477e-07;1.6141697428818709e-09;1.3402749571590057e-08;0.2907576618697796;0.0032015913854721895;3.543829819929792e-09;1.437611248208154e-06;0.293959253336755;
bfb5b92cc635472a79a03c702a79fd53;GLO;SSP5-Base-2050;bfb5b92cc635472a79a03c702a79fd53;market for neodymium oxide;neodymium oxide;kilogram;30.837516064186552;3.0682412721420986;4.07132195598559;0.0002567396289766086;5.1997975191918246e-08;4.031650081623197e-12;1.476159971354431e-07;5.954053710897406e-09;1.2010990158200683e-09;1.1147831360559566e-08;1.633070988592824e-08;1.275424483382479e-09;1.5258330736632075e-07;1.724656107141524e-08;5.05977503857996e-13;1.130910045640151e-08;4.891474700591013e-05;1.5553199745255287e-05;5.163482169530627e-05;5.423094425355193e-08;2.146533828744726e-08;5.465479327928514e-05;1.1792123555111932e-07;1.8597186616940522e-06;3.3029009552952444;1270.4384680967473;4.0535489412960645e-07;0.00017281003682958517;1273.7413690633518;
